,asin,product_type_name,formatted_price,color,brand,title,medium_image_url,editorial_review,titleref,coloref,brandref
19198,B008D30AGK,SHIRT,7.51,Multicolored,Out+of+Print+Clothing,"""1984"" Retro Book Cover Women's SLim Fit T-Shirt by Out of Print Clothing (Women's XXL)",https://images-na.ssl-images-amazon.com/images/I/41rMoX%2B%2BANL._SL160_.jpg,,"""1984"" Retro Book Cover Women's SLim Fit T-Shirt by Out of Print Clothing (Women's XXL)",Multicolored,Out+of+Print+Clothing
13866,B003IDE8XQ,HOME,18.99,Grey,Maggie's Organics,"""Camisoles Grey - Medium Fair Labor, 1 pc""",https://images-na.ssl-images-amazon.com/images/I/41d41AjlmeL._SL160_.jpg,,"""Camisoles Grey - Medium Fair Labor, 1 pc""",Grey,Maggie's Organics
17958,B00KI3VDXM,SHIRT,39.99,Purple,Crazy4Bling,"""I Wanna Be Adored"" Long Sleeve Top with Shredded Shoulders, Medium",https://images-na.ssl-images-amazon.com/images/I/41QYWjJENhL._SL160_.jpg,,"""I Wanna Be Adored"" Long Sleeve Top with Shredded Shoulders, Medium",Purple,Crazy4Bling
16697,B007X684BQ,SHIRT,48,Pride and Prejudice,Out of Print Clothing,"""Pride & Prejudice"" 2-Pocket Light Weight Fleece by Out Of Print (Women's Large)",https://images-na.ssl-images-amazon.com/images/I/61IHQ85OJ6L._SL160_.jpg,,"""Pride & Prejudice"" 2-Pocket Light Weight Fleece by Out Of Print (Women's Large)",Pride and Prejudice,Out of Print Clothing
22822,B00KN2X2PA,SHIRT,3.99,White,COOGI,(CA14-1101) COOGI Studded Gold Cross Tee in White Size: M,https://images-na.ssl-images-amazon.com/images/I/41HhWYyM86L._SL160_.jpg,,(CA14-1101) COOGI Studded Gold Cross Tee in White Size: M,White,COOGI
13365,B00KN2XQ06,SHIRT,3.99,White,COOGI,(CA14-1106) COOGI Girls Best Friend Tee in White Size: M,https://images-na.ssl-images-amazon.com/images/I/41omznAaHML._SL160_.jpg,,(CA14-1106) COOGI Girls Best Friend Tee in White Size: M,White,COOGI
18172,B00OL0HMWY,SHIRT,17.5,Navy,GLJ TRADING,(Plus Size) Women's Tie dye Scoop Neck Loose Fit Blouse,https://images-na.ssl-images-amazon.com/images/I/416LSGSvlbL._SL160_.jpg,,(Plus Size) Women's Tie dye Scoop Neck Loose Fit Blouse,Navy,GLJ TRADING
12203,B01N1GNCQK,ACCESSORY,14.48,Blue,Panda Superstore,[Blue Camellia] Women Acrylic False Collar Removable Fake Collars Choker Bib,https://images-na.ssl-images-amazon.com/images/I/61zT8ve4F3L._SL160_.jpg,,[Blue Camellia] Women Acrylic False Collar Removable Fake Collars Choker Bib,Blue,Panda Superstore
3317,B074QN52BS,ACCESSORY,14.48,Bright White,Panda Superstore,[White] Women Acrylic Choker Necklace Removable Fake Collar False Collar,https://images-na.ssl-images-amazon.com/images/I/51hebWUWzML._SL160_.jpg,,[White] Women Acrylic Choker Necklace Removable Fake Collar False Collar,Bright White,Panda Superstore
4959,B01N3YZVGI,SHIRT,72.99,White,O3,1 BY O'2nd Womens LAO LIN Cut Out Detail Short Sleeve Top Sz 4 White 240367F,https://images-na.ssl-images-amazon.com/images/I/31L6V4QzVFL._SL160_.jpg,,1 BY O'2nd Womens LAO LIN Cut Out Detail Short Sleeve Top Sz 4 White 240367F,White,O3
10253,B017YBAI9A,SHIRT,19.99,Brown,La Fleva,1 World Sarongs Womens Animal Print Tunic Cover-Up in Small,https://images-na.ssl-images-amazon.com/images/I/41irIqaitSL._SL160_.jpg,,1 World Sarongs Womens Animal Print Tunic Cover-Up in Small,Brown,La Fleva
